PMAID,LocID,Name,Address,ZIP Code,X Coord,Y Coord,Location 1
2927,1894,Andover Place,4000 Beach Dr SW,98116,-122.409993,47.568517,"{'longitude': '-122.409993', 'needs_recoding': False, 'latitude': '47.568517'}"
1556,1898,Arapahoe Triangle,3431 Arapahoe Pl W,98199,-122.409139,47.65129,"{'longitude': '-122.409139', 'needs_recoding': False, 'latitude': '47.65129'}"
485,1907,Arroyos Natural Area,4120 Arroyo Dr SW,98146,-122.387822,47.505679,"{'longitude': '-122.387822', 'needs_recoding': False, 'latitude': '47.505679'}"
4081,1908,Atlantic City Boat Ramp,8702 Seward Park Ave S,98118,-122.263078,47.522834,"{'longitude': '-122.263078', 'needs_recoding': False, 'latitude': '47.522834'}"
4243,2541,Atlantic Street Park,1501 21st Ave S,98144,-122.30566,47.589165,"{'longitude': '-122.30566', 'needs_recoding': False, 'latitude': '47.589165'}"
241,2552,B.F. Day Playground,4020 Fremont Ave N,98103,-122.349222,47.65603,"{'longitude': '-122.349222', 'needs_recoding': False, 'latitude': '47.65603'}"
4006,1910,Bagley Viewpoint,2548 Delmar Dr E,98102,-122.318347,47.643015,"{'longitude': '-122.318347', 'needs_recoding': False, 'latitude': '47.643015'}"
2840,1911,Baker Park on Crown Hill,8347 14th Ave NW,98117,-122.374794,47.690119,"{'longitude': '-122.374794', 'needs_recoding': False, 'latitude': '47.690119'}"
4278,1913,Ballard Commons Park,5701 22nd Ave NW,98107,-122.385487,47.670549,"{'longitude': '-122.385487', 'needs_recoding': False, 'latitude': '47.670549'}"
4428,1914,Ballard Corners Park,1702 nw 62nd St,98107,-122.379116,47.674186,"{'longitude': '-122.379116', 'needs_recoding': False, 'latitude': '47.674186'}"
497,1108,Ballard Playground,2644 NW 60th St,98107,-122.39155,47.672786,"{'longitude': '-122.39155', 'needs_recoding': False, 'latitude': '47.672786'}"
4073,2553,Banner Way Triangle,7802 Banner Way NE,98115,-122.32343,47.685762,"{'longitude': '-122.32343', 'needs_recoding': False, 'latitude': '47.685762'}"
3703,1919,Bar-S Playground,6425 SW Admiral Way,98116,-122.416054,47.575195,"{'longitude': '-122.416054', 'needs_recoding': False, 'latitude': '47.575195'}"
303,1110,Bayview Playground,2614 24th Ave W,98199,-122.386786,47.643802,"{'longitude': '-122.386786', 'needs_recoding': False, 'latitude': '47.643802'}"
1000342,0,Bayview-Kinnear (Lower Kerry Park),3rd Ave W & W Prospect St,98119,-122.360626,47.628948,"{'longitude': '-122.360626', 'needs_recoding': False, 'latitude': '47.628948'}"
400,1074,Beacon Hill Playground,1902 13th Ave S,98144,-122.315325,47.586226,"{'longitude': '-122.315325', 'needs_recoding': False, 'latitude': '47.586226'}"
3119,1923,Beacon Place,1110 S Dearborn St,98104,-122.318716,47.596236,"{'longitude': '-122.318716', 'needs_recoding': False, 'latitude': '47.596236'}"
4481,1075,Beaver Pond Natural Area on Thornton Creek,5th Ave NE & NE 103rd St,98125,-122.323168,47.703288,"{'longitude': '-122.323168', 'needs_recoding': False, 'latitude': '47.703288'}"
4028,0,Beck Place,5809 15th Ave NE,98105,-122.312027,47.671888,"{'longitude': '-122.312027', 'needs_recoding': False, 'latitude': '47.671888'}"
440,1925,Beer Sheva Park,8650 55th Ave S,98118,-122.263223,47.524191,"{'longitude': '-122.263223', 'needs_recoding': False, 'latitude': '47.524191'}"
4472,2543,Bell Street Park,1st to 5th Ave on Bell St,98121,-122.344866,47.614696,"{'longitude': '-122.344866', 'needs_recoding': False, 'latitude': '47.614696'}"
4022,1182,Bellevue Place,Bellevue Ave E & Bellevue Pl E,98102,-122.327658,47.626904,"{'longitude': '-122.327658', 'needs_recoding': False, 'latitude': '47.626904'}"
